"game_id","first","time_control_name","game_end_reason","winner","created_at","lexicon","initial_time_seconds","increment_seconds","rating_mode","max_overtime_minutes","game_duration_seconds"
1,"BLUE","rapid","STANDARD",0,2021-11-14 16:10:47,"CSW19",600,0,"RATED",1,461.512848138809
2,"dezinga","regular",NA,NA,2021-12-08 03:18:35,"CSW19",1200,0,"RATED",1,NA
3,"PrimordialOne","rapid","STANDARD",1,2021-12-03 14:18:57,"CSW21",600,0,"RATED",1,570.612076997757
4,"BetterBot","regular",NA,NA,2021-11-07 11:58:37,"CSW19",1200,0,"RATED",1,NA
5,"Sleekit","regular",NA,NA,2021-12-28 03:11:59,"NWL20",1200,0,"RATED",1,NA
6,"BetterBot","regular","STANDARD",0,2021-11-12 16:32:34,"NWL20",1200,0,"RATED",1,539.813210010529
7,"BetterBot","regular","STANDARD",1,2021-11-03 13:04:34,"CSW19",1200,0,"RATED",1,1001.5012588501
8,"hivin","blitz",NA,NA,2021-12-14 03:45:23,"CSW21",300,0,"RATED",1,NA
9,"BetterBot","regular",NA,NA,2021-12-07 21:19:22,"CSW21",1200,0,"RATED",1,NA
10,"Baphead","regular","STANDARD",0,2021-12-09 13:02:14,"CSW19",1200,0,"RATED",1,474.283320903778
11,"vanwinkle","regular",NA,NA,2021-11-19 05:43:39,"NWL20",1200,0,"RATED",1,NA
12,"BetterBot","regular",NA,NA,2021-12-26 11:44:09,"CSW19",900,0,"CASUAL",1,NA
13,"BetterBot","rapid",NA,NA,2021-11-14 09:03:55,"CSW19",600,0,"RATED",1,NA
14,"BetterBot","regular",NA,NA,2021-12-17 13:26:15,"CSW21",1200,0,"RATED",5,NA
15,"deathstar","regular","STANDARD",0,2021-11-17 05:57:16,"NWL20",1200,0,"RATED",1,642.665488958359
16,"BetterBot","blitz","STANDARD",0,2021-12-18 21:09:21,"CSW19",300,0,"RATED",1,163.807322025299
17,"strataji","rapid",NA,NA,2021-12-09 10:27:49,"NWL20",660,0,"RATED",0,NA
18,"Eloquent","regular","STANDARD",1,2021-12-23 14:00:21,"CSW19",1200,0,"CASUAL",2,456.220921993256
19,"stramash","blitz",NA,NA,2021-12-05 12:37:04,"CSW19",300,0,"RATED",1,NA
20,"BetterBot","ultrablitz",NA,NA,2021-11-08 01:35:53,"CSW19",30,5,"RATED",0,NA
21,"dezinga","regular",NA,NA,2021-12-11 06:39:13,"CSW21",1200,0,"RATED",1,NA
22,"ChokYanJia1118","regular","STANDARD",0,2021-12-01 11:10:24,"CSW19",900,0,"RATED",1,454.915861129761
23,"Maulanapa","regular","STANDARD",1,2021-11-03 03:33:27,"CSW19",1200,0,"RATED",1,390.370246171951
24,"BetterBot","ultrablitz",NA,NA,2021-11-03 03:04:53,"CSW19",60,0,"RATED",1,NA
25,"BetterBot","regular","STANDARD",0,2022-01-01 16:04:25,"CSW19",900,0,"RATED",3,789.351921081543
26,"BetterBot","regular","STANDARD",1,2021-12-14 23:00:33,"NWL20",1200,0,"RATED",1,915.227889060974
27,"BetterBot","regular",NA,NA,2021-12-13 07:29:39,"CSW21",1200,0,"RATED",1,NA
28,"BetterBot","regular","STANDARD",0,2021-12-12 14:10:36,"CSW21",1200,0,"RATED",1,146.598083972931
29,"BetterBot","regular","STANDARD",0,2021-11-17 16:11:37,"CSW19",1200,0,"RATED",1,296.8099629879
30,"BetterBot","regular",NA,NA,2021-12-16 05:18:16,"CSW21",1200,0,"RATED",1,NA
31,"BetterBot","regular","STANDARD",1,2021-12-11 19:43:35,"NWL20",3600,0,"CASUAL",1,751.823446035385
32,"BetterBot","regular",NA,NA,2021-12-20 12:14:46,"CSW19",1200,0,"CASUAL",2,NA
33,"BetterBot","regular",NA,NA,2021-11-30 13:21:00,"CSW19",1200,0,"CASUAL",1,NA
34,"BetterBot","regular","STANDARD",1,2021-11-30 05:21:10,"CSW19",1200,0,"RATED",1,972.461711883545
35,"NattapatN","regular","STANDARD",1,2021-11-16 05:22:35,"CSW19",1200,0,"RATED",1,380.059506893158
