"game_id","nickname","score","rating"
1,"BetterBot",348,"1740"
1,"BLUE",333,"1537"
2,"BetterBot",NA,"1855"
2,"dezinga",NA,"1884"
3,"BetterBot",371,"1828"
3,"PrimordialOne",406,"1672"
4,"BetterBot",NA,"1849"
4,"FIZARINAOSMAN",NA,"1342?"
5,"BetterBot",NA,"1679"
5,"Sleekit",NA,"1357"
6,"Anita",304,"1572"
6,"BetterBot",392,"1639"
7,"BetterBot",417,"1851"
7,"Trayz",430,"1980"
8,"BetterBot",NA,"1943"
8,"hivin",NA,"1894"
9,"BetterBot",NA,"1881"
9,"joelnathanael",NA,"1750"
10,"Baphead",335,"1859"
10,"BetterBot",395,"1774"
11,"BetterBot",NA,"1617"
11,"vanwinkle",NA,"1408"
12,"BetterBot",NA,"1856"
12,"JoelTeh",NA,"1539"
13,"BetterBot",NA,"1722"
13,"jawedshamims",NA,"1799"
14,"BetterBot",NA,"1765"
14,"jesslynThall2",NA,"1698?"
15,"BetterBot",418,"1683"
15,"deathstar",381,"1625"
16,"BetterBot",503,"1788"
16,"domer8t8",283,"1602"
17,"BetterBot",NA,"1653"
17,"strataji",NA,"1992"
18,"BetterBot",333,"1829"
18,"Eloquent",526,"1775"
19,"BetterBot",NA,"1850"
19,"stramash",NA,"1384?"
20,"AWFUL",NA,"1964"
20,"BetterBot",NA,"1885"
21,"BetterBot",NA,"1874"
21,"dezinga",NA,"1926"
22,"BetterBot",438,"1844"
22,"ChokYanJia1118",319,"1626"
23,"BetterBot",365,"1900"
23,"Maulanapa",370,"1654"
24,"BetterBot",NA,"1862"
24,"marvin",NA,"1742"
25,"BetterBot",459,"1876"
25,"Gimhan04",383,"1604"
26,"BetterBot",266,"1709"
26,"TheGidfather",561,"1497"
27,"BetterBot",NA,"1819"
27,"ZeMing",NA,"1907"
28,"BetterBot",586,"1812"
28,"franvi",289,"1670"
29,"BetterBot",389,"1812"
29,"wordhero",372,"1654"
30,"BetterBot",NA,"1801"
30,"ZeMing",NA,"1925"
31,"BetterBot",333,"1618"
31,"vince",348,"1660"
32,"BetterBot",NA,"1814"
32,"Eloquent",NA,"1775"
33,"BetterBot",NA,"1826"
33,"Eloquent",NA,"1775"
34,"BetterBot",369,"1840"
34,"MimiH",436,"1829"
35,"BetterBot",387,"1848"
35,"NattapatN",436,"1972"
36,"BetterBot",NA,"1557"
36,"riverquean",NA,"1793"
37,"BetterBot",NA,"1619"
37,"bobcubed",NA,"1273"
38,"BetterBot",465,"1660"
38,"gppa",396,"1618"
39,"BetterBot",432,"1665"
39,"rcg",348,"1713"
40,"BetterBot",403,"1643"
40,"Gtowngrad",301,"1383?"
41,"BetterBot",383,"1802"
41,"Pramit_06",364,"1685"
42,"BetterBot",473,"1756"
42,"blitztkr",326,"1885"
43,"BetterBot",473,"1677"
43,"EMC",253,"1530"
44,"BetterBot",394,"1683"
44,"Churrrro",436,"1714"
45,"BetterBot",378,"1710"
45,"vince",348,"1649"
46,"BetterBot",NA,"1698"
46,"Churrrro",NA,"1712"
47,"BetterBot",NA,"1618"
47,"GPeters",NA,"1522"
48,"bensmum",318,"1667"
48,"BetterBot",466,"1856"
49,"BetterBot",265,"1692"
49,"deathstar",474,"1546"
50,"BetterBot",435,"1770"
50,"davidavid",270,"1770"
51,"BetterBot",389,"1685"
51,"Churrrro",403,"1764"
52,"BetterBot",NA,"1898"
52,"CSJwoogles",NA,"1386?"
53,"BetterBot",425,"1819"
53,"Super",388,"1830"
54,"BetterBot",451,"1613"
54,"EMC",311,"1533"
55,"BetterBot",NA,"1833"
55,"jawedshamims",NA,"1880"
56,"BetterBot",NA,"1709"
56,"Churrrro",NA,"1715"
57,"BetterBot",314,"1706"
57,"rcg",388,"1713"
58,"BetterBot",372,"1808"
58,"dezinga",450,"1950"
59,"BetterBot",426,"1875"
59,"shaunthesheep",382,"1841"
60,"BetterBot",429,"1707"
60,"Churrrro",391,"1652"
61,"BetterBot",NA,"1722"
61,"markuz",NA,"1679"
62,"BetterBot",NA,"1657"
62,"rcg",NA,"1713"
63,"BetterBot",420,"1903"
63,"Eloquent",425,"1775"
64,"BetterBot",339,"1858"
64,"marvin",323,"1774"
65,"BetterBot",373,"1659"
65,"freebritney",308,"1685"
66,"BetterBot",NA,"1843"
66,"Kannan_S",NA,"1595"
67,"BetterBot",359,"1849"
67,"ZeMing",412,"1927"
68,"BetterBot",482,"1636"
68,"Pogonip",316,"1571"
69,"BetterBot",392,"1662"
69,"PureleyX",370,"1755"
70,"BetterBot",NA,"1681"
70,"Churrrro",NA,"1776"
71,"BetterBot",NA,"1812"
71,"shaila",NA,"1830"
72,"BetterBot",NA,"1715"
72,"GPeters",NA,"1521"
73,"Alex1959",314,"1623"
73,"BetterBot",384,"1814"
74,"BetterBot",NA,"1637"
74,"Unwoogler",NA,NA
75,"BetterBot",407,"1908"
75,"davidavid",334,"1811"
76,"BetterBot",NA,"1714"
76,"rcg",NA,"1684"
77,"BetterBot",233,"1786"
77,"Eloquent",305,"1775"
78,"Anita",NA,"1586"
78,"BetterBot",NA,"1636"
79,"BetterBot",429,"1693"
79,"ChsrQat",280,"1564"
80,"BetterBot",455,"1877"
80,"Hanhan",384,"1452"
81,"BetterBot",377,"1872"
81,"marvin",210,"1771"
82,"BetterBot",445,"1761"
82,"OlasElRey",237,"1594"
83,"BetterBot",520,"1889"
83,"Rbwingi",275,"1670?"
84,"BetterBot",NA,"1665"
84,"Churrrro",NA,"1702"
85,"BetterBot",365,"1820"
85,"Eloquent",385,"1775"
86,"BetterBot",637,"1617"
86,"vanwinkle",189,"1366"
87,"BetterBot",331,"1672"
87,"Churrrro",365,"1652"
88,"BetterBot",433,"1671"
88,"GPeters",373,"1532"
89,"BetterBot",NA,"1694"
89,"Churrrro",NA,"1764"
90,"BetterBot",NA,"1817"
90,"marvin",NA,"1789"
91,"BetterBot",NA,"1833"
91,"Nakugoba",NA,"1654"
92,"BetterBot",358,"1846"
92,"Eloquent",392,"1775"
93,"BetterBot",NA,"1606"
93,"frs",NA,"1765"
94,"AWFUL",448,"1973"
94,"BetterBot",309,"1918"
95,"BetterBot",378,"1673"
95,"freebritney",280,"1679"
96,"BetterBot",372,"1714"
96,"rcg",249,"1684"
97,"ballarat",NA,"1563"
97,"BetterBot",NA,"1659"
98,"BetterBot",422,"1858"
98,"Super",328,"1866"
99,"BetterBot",NA,"1792"
99,"PrimordialOne",NA,"1653"
100,"BetterBot",NA,"1621"
100,"deathstar",NA,"1580"
101,"BetterBot",372,"1579"
101,"kyjo55555",540,"1573?"
102,"BetterBot",339,"1786"
102,"Super",404,"1788"
103,"BetterBot",416,"1844"
103,"marvin",236,"1757"
104,"BetterBot",NA,"1841"
104,"marvin",NA,"1765"
105,"BetterBot",428,"1910"
105,"yiyang05",261,"1776"
106,"BetterBot",431,"1658"
106,"Churrrro",312,"1652"
107,"BetterBot",410,"1889"
107,"blitztkr",340,"1978"
108,"BetterBot",459,"1826"
108,"englishcarnivalsbh",276,"1635"
109,"BetterBot",404,"1920"
109,"franvi",261,"1742"
110,"BetterBot",335,"1653"
110,"freebritney",409,"1689"
111,"Anita",390,"1546"
111,"BetterBot",333,"1605"
112,"BetterBot",NA,"1714"
112,"rcg",NA,"1713"
113,"BetterBot",408,"1707"
113,"doobie",315,"1382"
114,"BetterBot",NA,"1784"
114,"franvi",NA,"1617"
115,"BetterBot",NA,"1837"
115,"Hailey",NA,"1906?"
116,"Amadeus",NA,"1665"
116,"BetterBot",NA,"1815"
117,"Andrian",NA,"1952"
117,"BetterBot",NA,"1833"
118,"BetterBot",452,"1673"
118,"gppa",350,"1635"
119,"BetterBot",393,"1666"
119,"Krebsy",340,"1735"
120,"BetterBot",377,"1822"
120,"Kabashibi",242,"1621"
121,"BetterBot",334,"1860"
121,"davidavid",387,"1743"
122,"BetterBot",NA,"1816"
122,"hivin",NA,"1994"
123,"BetterBot",368,"1694"
123,"Churrrro",238,"1763"
124,"BetterBot",345,"1858"
124,"Emeryz",393,"1775"
125,"BetterBot",501,"1818"
125,"Super",280,"1892"
126,"BetterBot",361,"1659"
126,"cccc",308,"1615"
127,"BetterBot",389,"1807"
127,"Eloquent",430,"1775"
128,"BetterBot",NA,"1705"
128,"rcg",NA,"1713"
129,"BetterBot",369,"1683"
129,"Churrrro",373,"1652"
130,"BetterBot",490,"1814"
130,"JoelTeh",221,"1543"
131,"BetterBot",275,"1714"
131,"rcg",390,"1684"
132,"BetterBot",NA,"1655"
132,"deathstar",NA,"1601"
133,"BetterBot",337,"1773"
133,"Pramit_06",428,"1633"
134,"BetterBot",443,"1625"
134,"deathstar",296,"1643"
135,"Anita",325,"1604"
135,"BetterBot",389,"1679"
136,"BetterBot",NA,"1862"
136,"Meith",NA,"1811"
137,"BetterBot",507,"1885"
137,"Eloquent",323,"1775"
138,"BetterBot",380,"1944"
138,"domer8t8",326,"1588"
139,"BetterBot",568,"1894"
139,"Crookshanks",330,"1785"
140,"BetterBot",NA,"1898"
140,"Eloquent",NA,"1775"
141,"BetterBot",465,"1747"
141,"Kabashibi",324,"1671"
142,"BetterBot",NA,"1930"
142,"Shedz17",NA,"1876?"
143,"BetterBot",NA,"1748"
143,"GM1109",NA,"1789"
144,"BetterBot",324,"1686"
144,"Churrrro",413,"1716"
145,"BetterBot",414,"1794"
145,"ZeMing",422,"1932"
146,"BetterBot",377,"1642"
146,"Unwoogler",460,NA
147,"BetterBot",400,"1645"
147,"GPeters",286,"1536"
148,"BethMix",344,"1568"
148,"BetterBot",447,"1588"
149,"BetterBot",435,"1694"
149,"Churrrro",335,"1708"
150,"BetterBot",346,"1829"
150,"Kabashibi",256,"1623"
151,"BetterBot",NA,"1872"
151,"Crookshanks",NA,"1778"
152,"Baphead",409,"1829"
152,"BetterBot",323,"1876"
153,"BetterBot",397,"1669"
153,"ktlvsq",258,"1460"
